Date,TCS,Infosys,HCL,Wirpo
2016,1113,542,399,194
2016,1099,539,404,194
2016,1134,554,414,199
2016,1141,554,405,201
2016,1181,575,425,204
2016,1211,587,435,209
2016,1210,590,434,210
2016,1208,579,426,209
2016,1199,588,436,213
2016,1201,587,440,213
2016,1196,582,433,211
2016,1166,565,422,205
2016,1160,569,418,207
2016,1152,569,419,205
2016,1148,568,420,206
2016,1127,569,418,207
2016,1140,561,421,203
2016,1140,570,419,203
2016,1139,566,421,205
2016,1131,570,419,204
2016,1139,567,414,204
2016,1140,542,413,205
2016,1164,525,405,206
2016,1181,528,407,202
2016,1199,532,414,208
2016,1186,525,413,206
2016,1191,535,421,208
2016,1174,537,421,209
2016,1185,539,423,209
2016,1208,553,423,209
2017,1351,521,445,236
2017,1313,517,439,231
2017,1310,517,442,230
2017,1325,518,444,227
2017,1323,520,443,226
2017,1298,511,445,223
2017,1294,508,435,222
2017,1288,502,435,219
2017,1290,508,443,222
2017,1273,511,446,217
2017,1279,507,441,216
2017,1314,502,433,215
2017,1306,505,438,216
2017,1331,503,440,217
2017,1301,501,435,212
2017,1309,500,432,211
2017,1317,495,429,212
2017,1318,492,424,213
2017,1316,493,424,217
2017,1315,479,415,217
2017,1319,488,424,219
2017,1329,491,427,224
2017,1343,492,430,221
2017,1343,499,430,221
2017,1344,505,429,220
2017,1341,496,427,220
2017,1340,483,421,221
2017,1336,483,419,221
2017,1352,480,421,221
2017,1354,485,420,221
2017,1373,494,426,223
2017,1353,476,424,222
2017,1357,475,435,224
2017,1379,476,435,224
2017,1354,481,434,227
2017,1368,477,438,227
2017,1368,476,439,227
2017,1355,478,438,227
2017,1333,464,423,225
2017,1310,463,424,221
2017,1313,461,429,220
2017,1301,464,420,220
2017,1312,461,428,221
2017,1308,472,418,220
2017,1292,473,427,223
2017,1269,474,435,227
2017,1280,468,454,224
2017,1289,463,457,223
2017,1294,470,469,223
2017,1292,463,461,219
2017,1293,462,462,221
2017,1297,465,462,217
2017,1292,470,462,218
2017,1279,465,463,219
2017,1274,464,458,220
2017,1250,465,454,218
2017,1230,468,450,215
2017,1227,462,451,215
2017,1223,460,454,215
2017,1215,452,447,213
2017,1221,450,443,212
2017,1224,452,441,212
2017,1218,450,437,210
2017,1238,448,438,214
2017,1248,450,437,216
2017,1237,453,437,218
2017,1255,448,437,219
2017,1252,449,442,221
2017,1262,455,435,219
2017,1247,456,445,219
